Issue Key,Project,Issue Type,Summary,Description,Priority,Severity,Labels,Root Cause,Status,Resolution,Assignee,Reporter,Created,Updated,Resolution Date,Sprint
QA-101,QA Defects,Bug,Page load takes more than 10 seconds,Steps: Click logout. Expected: User should be redirected. Actual: Page loads slowly.,Medium,Blocker,Performance,Code Bug,Open,,Jane Smith,Test Engineer,2024-01-01,2024-01-07,,Sprint 1 (2024)
QA-102,QA Defects,Bug,Dropdown options missing in settings,Steps: Click logout. Expected: Response should be 200 OK. Actual: Page loads slowly.,Low,Blocker,UI,Configuration Issue,Open,,Jane Smith,Automation Bot,2024-01-02,2024-01-03,2024-01-17,Sprint 1 (2024)
QA-103,QA Defects,Bug,Login button not responsive,Steps: Click logout. Expected: Response should be 200 OK. Actual: 500 error returned.,Low,Minor,UI,Configuration Issue,Open,Cannot Reproduce,Mark Lee,QA Tester,2024-01-03,2024-01-12,2024-01-22,Sprint 1 (2024)
QA-104,QA Defects,Bug,Cache not refreshed after deployment,Steps: Navigate to dashboard. Expected: Response should be 200 OK. Actual: Incorrect message displayed.,Medium,Critical,DevOps,Configuration Issue,In Progress,Duplicate,Mark Lee,Automation Bot,2024-01-04,2024-01-06,,Sprint 1 (2024)
QA-105,QA Defects,Bug,UI alignment issue on mobile view,Steps: Navigate to dashboard. Expected: Data should be saved. Actual: Page loads slowly.,High,Major,UI,Configuration Issue,In Progress,Duplicate,John Doe,QA Tester,2024-01-05,2024-01-07,,Sprint 1 (2024)
QA-106,QA Defects,Bug,Login button not responsive,Steps: Submit form. Expected: System should work correctly. Actual: System crashes.,Medium,Blocker,UI,Memory Leak,Open,,Alice Brown,QA Tester,2024-01-06,2024-01-07,2024-01-20,Sprint 1 (2024)
QA-107,QA Defects,Bug,Chart rendering breaks on dashboard,Steps: Open app. Expected: System should work correctly. Actual: 500 error returned.,Low,Blocker,General Code Defect,Configuration Issue,Open,,Jane Smith,Automation Bot,2024-01-08,2024-01-15,2024-01-16,Sprint 1 (2024)
QA-108,QA Defects,Bug,Chart rendering breaks on dashboard,Steps: Open app. Expected: Response should be 200 OK. Actual: Incorrect message displayed.,High,Blocker,General Code Defect,Environment Issue,Closed,Fixed,Mark Lee,QA Tester,2024-01-09,2024-01-11,,Sprint 1 (2024)
QA-109,QA Defects,Bug,Memory leak observed under load test,Steps: Call API endpoint. Expected: Response should be 200 OK. Actual: Data not saved.,Medium,Major,Performance,Performance Issue,Open,Fixed,Jane Smith,Test Engineer,2024-01-10,2024-01-11,,Sprint 1 (2024)
QA-110,QA Defects,Bug,Incorrect calculation in reporting module,Steps: Click logout. Expected: User should be redirected. Actual: 500 error returned.,Medium,Minor,Reporting,Performance Issue,Resolved,Won't Fix,Alice Brown,Test Engineer,2024-01-11,2024-01-14,2024-01-18,Sprint 1 (2024)
QA-111,QA Defects,Bug,Incorrect calculation in reporting module,Steps: Call API endpoint. Expected: Data should be saved. Actual: Incorrect message displayed.,Medium,Critical,Reporting,Test Data Issue,Closed,Cannot Reproduce,Jane Smith,QA Tester,2024-01-12,2024-01-19,2024-01-28,Sprint 1 (2024)
QA-112,QA Defects,Bug,Incorrect error message shown on invalid input,Steps: Call API endpoint. Expected: User should be redirected. Actual: Incorrect message displayed.,Medium,Critical,Validation,Environment Issue,Closed,,John Doe,Automation Bot,2024-01-13,2024-01-17,,Sprint 1 (2024)
QA-113,QA Defects,Bug,Cross-site scripting vulnerability in comments,Steps: Click logout. Expected: Response should be 200 OK. Actual: Data not saved.,High,Major,General Code Defect,Memory Leak,Resolved,,Alice Brown,Automation Bot,2024-01-15,2024-01-20,,Sprint 2 (2024)
QA-114,QA Defects,Bug,API returns 500 error on valid request,Steps: Click logout. Expected: Response should be 200 OK. Actual: Page loads slowly.,Low,Blocker,API,Memory Leak,Open,,Mark Lee,Test Engineer,2024-01-16,2024-01-21,2024-02-02,Sprint 2 (2024)
QA-115,QA Defects,Bug,Chart rendering breaks on dashboard,Steps: Submit form. Expected: Data should be saved. Actual: System crashes.,Medium,Minor,General Code Defect,Code Bug,Open,Fixed,Bob Johnson,Test Engineer,2024-01-17,2024-01-18,,Sprint 2 (2024)
QA-116,QA Defects,Bug,Export to CSV generates empty file,Steps: Open app. Expected: Data should be saved. Actual: Data not saved.,Low,Critical,Data Handling,Configuration Issue,In Progress,,Mark Lee,Test Engineer,2024-01-18,2024-01-19,,Sprint 2 (2024)
QA-117,QA Defects,Bug,Cache not refreshed after deployment,Steps: Click logout. Expected: Response should be 200 OK. Actual: Incorrect message displayed.,High,Blocker,DevOps,Code Bug,Resolved,Duplicate,John Doe,QA Tester,2024-01-19,2024-01-26,2024-01-31,Sprint 2 (2024)
QA-118,QA Defects,Bug,Dropdown options missing in settings,Steps: Call API endpoint. Expected: System should work correctly. Actual: 500 error returned.,High,Minor,UI,Configuration Issue,Resolved,Fixed,Alice Brown,Automation Bot,2024-01-20,2024-01-23,2024-01-27,Sprint 2 (2024)
QA-119,QA Defects,Bug,User roles not applied correctly after update,Steps: Open app. Expected: Response should be 200 OK. Actual: Data not saved.,Medium,Critical,General Code Defect,Memory Leak,Resolved,Duplicate,Jane Smith,Automation Bot,2024-01-22,2024-01-29,2024-02-01,Sprint 2 (2024)
QA-120,QA Defects,Bug,SQL query takes too long to execute,Steps: Open app. Expected: System should work correctly. Actual: 500 error returned.,Medium,Critical,Database,Environment Issue,Closed,Cannot Reproduce,Mark Lee,Automation Bot,2024-01-23,2024-02-01,,Sprint 2 (2024)
QA-121,QA Defects,Bug,UI alignment issue on mobile view,Steps: Submit form. Expected: Response should be 200 OK. Actual: 500 error returned.,High,Major,UI,Memory Leak,Resolved,Fixed,Bob Johnson,Test Engineer,2024-01-24,2024-02-01,2024-02-11,Sprint 2 (2024)
QA-122,QA Defects,Bug,SQL query takes too long to execute,Steps: Call API endpoint. Expected: Data should be saved. Actual: Data not saved.,High,Major,Database,Configuration Issue,In Progress,Cannot Reproduce,Jane Smith,Automation Bot,2024-01-25,2024-01-30,2024-02-03,Sprint 2 (2024)
QA-123,QA Defects,Bug,Search results not displayed correctly,Steps: Call API endpoint. Expected: System should work correctly. Actual: Page loads slowly.,Medium,Minor,Data Handling,Memory Leak,In Progress,Cannot Reproduce,Bob Johnson,QA Tester,2024-01-26,2024-01-30,,Sprint 2 (2024)
QA-124,QA Defects,Bug,Memory leak observed under load test,Steps: Click logout. Expected: System should work correctly. Actual: System crashes.,Low,Major,Performance,Performance Issue,In Progress,Duplicate,Alice Brown,Test Engineer,2024-01-27,2024-02-05,2024-02-18,Sprint 2 (2024)
QA-125,QA Defects,Bug,Chart rendering breaks on dashboard,Steps: Navigate to dashboard. Expected: Response should be 200 OK. Actual: System crashes.,High,Critical,General Code Defect,Code Bug,In Progress,Won't Fix,Mark Lee,Automation Bot,2024-01-29,2024-02-07,2024-02-16,Sprint 3 (2024)
QA-126,QA Defects,Bug,Search results not displayed correctly,Steps: Submit form. Expected: User should be redirected. Actual: System crashes.,High,Blocker,Data Handling,Environment Issue,Resolved,Cannot Reproduce,Alice Brown,QA Tester,2024-01-30,2024-01-31,2024-02-06,Sprint 3 (2024)
QA-127,QA Defects,Bug,Page load takes more than 10 seconds,Steps: Navigate to dashboard. Expected: Data should be saved. Actual: 500 error returned.,High,Major,Performance,Environment Issue,Closed,,Alice Brown,Test Engineer,2024-01-31,2024-02-06,2024-02-21,Sprint 3 (2024)
QA-128,QA Defects,Bug,UI alignment issue on mobile view,Steps: Navigate to dashboard. Expected: Data should be saved. Actual: Data not saved.,Medium,Major,UI,Performance Issue,Open,Fixed,Bob Johnson,Test Engineer,2024-02-01,2024-02-05,2024-02-07,Sprint 3 (2024)
QA-129,QA Defects,Bug,User roles not applied correctly after update,Steps: Call API endpoint. Expected: Response should be 200 OK. Actual: Data not saved.,High,Blocker,General Code Defect,Test Data Issue,Resolved,Cannot Reproduce,Jane Smith,Automation Bot,2024-02-02,2024-02-10,2024-02-21,Sprint 3 (2024)
QA-130,QA Defects,Bug,API returns 500 error on valid request,Steps: Call API endpoint. Expected: Response should be 200 OK. Actual: Data not saved.,High,Critical,API,Environment Issue,Resolved,Cannot Reproduce,Jane Smith,Automation Bot,2024-02-03,2024-02-08,2024-02-15,Sprint 3 (2024)
QA-131,QA Defects,Bug,Dropdown options missing in settings,Steps: Navigate to dashboard. Expected: Data should be saved. Actual: 500 error returned.,High,Blocker,UI,Memory Leak,Closed,Duplicate,Mark Lee,Automation Bot,2024-02-05,2024-02-13,2024-02-15,Sprint 3 (2024)
QA-132,QA Defects,Bug,UI alignment issue on mobile view,Steps: Call API endpoint. Expected: Data should be saved. Actual: 500 error returned.,Medium,Critical,UI,Environment Issue,In Progress,Fixed,Jane Smith,Test Engineer,2024-02-06,2024-02-15,2024-02-22,Sprint 3 (2024)
QA-133,QA Defects,Bug,File upload fails for large files,Steps: Call API endpoint. Expected: Data should be saved. Actual: Page loads slowly.,Medium,Minor,Performance,Performance Issue,Closed,Duplicate,John Doe,Test Engineer,2024-02-07,2024-02-14,,Sprint 3 (2024)
QA-134,QA Defects,Bug,Application crashes on logout,Steps: Navigate to dashboard. Expected: User should be redirected. Actual: Data not saved.,Low,Minor,Logging,Memory Leak,Resolved,Cannot Reproduce,John Doe,Automation Bot,2024-02-08,2024-02-11,2024-02-12,Sprint 3 (2024)
QA-135,QA Defects,Bug,Memory leak observed under load test,Steps: Click logout. Expected: Data should be saved. Actual: Data not saved.,High,Minor,Performance,Memory Leak,Closed,Cannot Reproduce,Bob Johnson,Test Engineer,2024-02-09,2024-02-10,2024-02-17,Sprint 3 (2024)
QA-136,QA Defects,Bug,Page load takes more than 10 seconds,Steps: Open app. Expected: System should work correctly. Actual: System crashes.,Low,Minor,Performance,Memory Leak,In Progress,Cannot Reproduce,John Doe,QA Tester,2024-02-11,2024-02-19,2024-03-05,Sprint 3 (2024)
QA-137,QA Defects,Bug,Login button not responsive,Steps: Navigate to dashboard. Expected: Response should be 200 OK. Actual: Page loads slowly.,Medium,Critical,UI,Code Bug,Closed,Won't Fix,Mark Lee,Automation Bot,2024-02-12,2024-02-14,2024-02-27,Sprint 4 (2024)
QA-138,QA Defects,Bug,Data not saved to database after form submit,Steps: Call API endpoint. Expected: Response should be 200 OK. Actual: Page loads slowly.,High,Minor,Database,Test Data Issue,Closed,Won't Fix,Mark Lee,Test Engineer,2024-02-13,2024-02-18,2024-02-24,Sprint 4 (2024)
QA-139,QA Defects,Bug,Incorrect error message shown on invalid input,Steps: Navigate to dashboard. Expected: System should work correctly. Actual: 500 error returned.,High,Minor,Validation,Memory Leak,Closed,Fixed,Alice Brown,QA Tester,2024-02-14,2024-02-19,2024-03-02,Sprint 4 (2024)
QA-140,QA Defects,Bug,Chart rendering breaks on dashboard,Steps: Call API endpoint. Expected: Data should be saved. Actual: System crashes.,Low,Blocker,General Code Defect,Memory Leak,In Progress,Won't Fix,Jane Smith,Automation Bot,2024-02-15,2024-02-16,,Sprint 4 (2024)
QA-141,QA Defects,Bug,File upload fails for large files,Steps: Open app. Expected: Response should be 200 OK. Actual: Page loads slowly.,Low,Critical,Performance,Code Bug,Open,,Mark Lee,Automation Bot,2024-02-16,2024-02-23,2024-02-24,Sprint 4 (2024)
QA-142,QA Defects,Bug,Application crashes on logout,Steps: Submit form. Expected: Response should be 200 OK. Actual: System crashes.,High,Blocker,Logging,Memory Leak,In Progress,,Alice Brown,Automation Bot,2024-02-18,2024-02-27,2024-03-02,Sprint 4 (2024)
QA-143,QA Defects,Bug,Application crashes on logout,Steps: Navigate to dashboard. Expected: Response should be 200 OK. Actual: Page loads slowly.,High,Minor,Logging,Environment Issue,In Progress,,Mark Lee,Automation Bot,2024-02-19,2024-02-24,2024-03-05,Sprint 4 (2024)
QA-144,QA Defects,Bug,Incorrect error message shown on invalid input,Steps: Navigate to dashboard. Expected: User should be redirected. Actual: 500 error returned.,Medium,Critical,Validation,Code Bug,Open,Duplicate,Mark Lee,Automation Bot,2024-02-20,2024-02-27,2024-03-03,Sprint 4 (2024)
QA-145,QA Defects,Bug,Cache not refreshed after deployment,Steps: Call API endpoint. Expected: System should work correctly. Actual: System crashes.,Medium,Critical,DevOps,Memory Leak,In Progress,Duplicate,Mark Lee,Automation Bot,2024-02-21,2024-03-02,2024-03-05,Sprint 4 (2024)
QA-146,QA Defects,Bug,Cross-site scripting vulnerability in comments,Steps: Click logout. Expected: User should be redirected. Actual: 500 error returned.,Low,Critical,General Code Defect,Code Bug,In Progress,,Alice Brown,Automation Bot,2024-02-22,2024-03-01,2024-03-11,Sprint 4 (2024)
QA-147,QA Defects,Bug,File upload fails for large files,Steps: Click logout. Expected: User should be redirected. Actual: Data not saved.,Low,Blocker,Performance,Test Data Issue,In Progress,Fixed,Alice Brown,Automation Bot,2024-02-23,2024-02-28,2024-03-09,Sprint 4 (2024)
QA-148,QA Defects,Bug,Login button not responsive,Steps: Call API endpoint. Expected: Response should be 200 OK. Actual: 500 error returned.,Low,Blocker,UI,Performance Issue,In Progress,Cannot Reproduce,Jane Smith,Automation Bot,2024-02-25,2024-02-26,2024-03-05,Sprint 4 (2024)
QA-149,QA Defects,Bug,Incorrect error message shown on invalid input,Steps: Open app. Expected: User should be redirected. Actual: Page loads slowly.,Medium,Blocker,Validation,Code Bug,In Progress,,Alice Brown,QA Tester,2024-02-26,2024-03-01,2024-03-14,Sprint 5 (2024)
QA-150,QA Defects,Bug,Login button not responsive,Steps: Navigate to dashboard. Expected: User should be redirected. Actual: System crashes.,Low,Minor,UI,Test Data Issue,Closed,Cannot Reproduce,Bob Johnson,Test Engineer,2024-02-27,2024-03-04,2024-03-16,Sprint 5 (2024)
QA-151,QA Defects,Bug,Page load takes more than 10 seconds,Steps: Open app. Expected: Response should be 200 OK. Actual: 500 error returned.,Medium,Critical,Performance,Environment Issue,Resolved,Cannot Reproduce,Bob Johnson,QA Tester,2024-02-28,2024-03-04,,Sprint 5 (2024)
QA-152,QA Defects,Bug,Cache not refreshed after deployment,Steps: Call API endpoint. Expected: Response should be 200 OK. Actual: 500 error returned.,Medium,Minor,DevOps,Memory Leak,In Progress,,Bob Johnson,Test Engineer,2024-02-29,2024-03-01,,Sprint 5 (2024)
QA-153,QA Defects,Bug,Search results not displayed correctly,Steps: Open app. Expected: Response should be 200 OK. Actual: Data not saved.,High,Major,Data Handling,Environment Issue,Closed,Fixed,Alice Brown,Test Engineer,2024-03-01,2024-03-10,,Sprint 5 (2024)
QA-154,QA Defects,Bug,Cache not refreshed after deployment,Steps: Submit form. Expected: User should be redirected. Actual: 500 error returned.,Medium,Critical,DevOps,Test Data Issue,Resolved,,Jane Smith,QA Tester,2024-03-03,2024-03-12,2024-03-14,Sprint 5 (2024)
QA-155,QA Defects,Bug,Cross-site scripting vulnerability in comments,Steps: Submit form. Expected: System should work correctly. Actual: Incorrect message displayed.,Low,Blocker,General Code Defect,Test Data Issue,Closed,,John Doe,QA Tester,2024-03-04,2024-03-13,,Sprint 5 (2024)
QA-156,QA Defects,Bug,Session timeout not working as expected,Steps: Click logout. Expected: Data should be saved. Actual: Data not saved.,Low,Critical,Performance,Code Bug,In Progress,Cannot Reproduce,Bob Johnson,QA Tester,2024-03-05,2024-03-13,,Sprint 5 (2024)
QA-157,QA Defects,Bug,Incorrect calculation in reporting module,Steps: Submit form. Expected: Response should be 200 OK. Actual: Data not saved.,Low,Minor,Reporting,Test Data Issue,In Progress,,Alice Brown,Automation Bot,2024-03-06,2024-03-14,2024-03-28,Sprint 5 (2024)
QA-158,QA Defects,Bug,Incorrect calculation in reporting module,Steps: Click logout. Expected: Data should be saved. Actual: Data not saved.,High,Critical,Reporting,Configuration Issue,In Progress,Fixed,John Doe,Automation Bot,2024-03-07,2024-03-15,2024-03-23,Sprint 5 (2024)
QA-159,QA Defects,Bug,Cache not refreshed after deployment,Steps: Navigate to dashboard. Expected: Data should be saved. Actual: Page loads slowly.,Low,Minor,DevOps,Configuration Issue,In Progress,,John Doe,Automation Bot,2024-03-08,2024-03-11,2024-03-25,Sprint 5 (2024)
QA-160,QA Defects,Bug,Chart rendering breaks on dashboard,Steps: Open app. Expected: User should be redirected. Actual: 500 error returned.,Medium,Major,General Code Defect,Environment Issue,Open,Fixed,Mark Lee,Automation Bot,2024-03-10,2024-03-13,2024-03-15,Sprint 5 (2024)
QA-161,QA Defects,Bug,Memory leak observed under load test,Steps: Call API endpoint. Expected: Response should be 200 OK. Actual: Page loads slowly.,Low,Blocker,Performance,Performance Issue,Open,Duplicate,John Doe,Test Engineer,2024-03-11,2024-03-17,2024-03-19,Sprint 6 (2024)
QA-162,QA Defects,Bug,Page load takes more than 10 seconds,Steps: Submit form. Expected: Response should be 200 OK. Actual: 500 error returned.,Medium,Major,Performance,Memory Leak,Resolved,,Bob Johnson,Automation Bot,2024-03-12,2024-03-20,2024-03-28,Sprint 6 (2024)
QA-163,QA Defects,Bug,SQL query takes too long to execute,Steps: Submit form. Expected: Data should be saved. Actual: 500 error returned.,Low,Major,Database,Performance Issue,Resolved,Duplicate,John Doe,Test Engineer,2024-03-13,2024-03-21,2024-04-04,Sprint 6 (2024)
QA-164,QA Defects,Bug,Chart rendering breaks on dashboard,Steps: Open app. Expected: Response should be 200 OK. Actual: Data not saved.,Low,Minor,General Code Defect,Configuration Issue,Closed,Cannot Reproduce,Bob Johnson,QA Tester,2024-03-14,2024-03-17,,Sprint 6 (2024)
QA-165,QA Defects,Bug,Application crashes on logout,Steps: Call API endpoint. Expected: Response should be 200 OK. Actual: 500 error returned.,Low,Minor,Logging,Configuration Issue,Resolved,Cannot Reproduce,Alice Brown,QA Tester,2024-03-15,2024-03-20,2024-04-01,Sprint 6 (2024)
QA-166,QA Defects,Bug,Cache not refreshed after deployment,Steps: Click logout. Expected: Data should be saved. Actual: Page loads slowly.,Low,Major,DevOps,Test Data Issue,Resolved,Duplicate,Mark Lee,QA Tester,2024-03-17,2024-03-22,2024-03-28,Sprint 6 (2024)
QA-167,QA Defects,Bug,Incorrect calculation in reporting module,Steps: Open app. Expected: Response should be 200 OK. Actual: System crashes.,Low,Major,Reporting,Test Data Issue,Closed,Won't Fix,Bob Johnson,QA Tester,2024-03-18,2024-03-24,,Sprint 6 (2024)
QA-168,QA Defects,Bug,UI alignment issue on mobile view,Steps: Open app. Expected: System should work correctly. Actual: Incorrect message displayed.,Medium,Major,UI,Memory Leak,Resolved,Fixed,John Doe,QA Tester,2024-03-19,2024-03-23,,Sprint 6 (2024)
QA-169,QA Defects,Bug,Application crashes on logout,Steps: Navigate to dashboard. Expected: User should be redirected. Actual: Data not saved.,Low,Minor,Logging,Configuration Issue,Open,,Alice Brown,QA Tester,2024-03-20,2024-03-24,2024-03-26,Sprint 6 (2024)
QA-170,QA Defects,Bug,Memory leak observed under load test,Steps: Submit form. Expected: Data should be saved. Actual: 500 error returned.,Medium,Major,Performance,Test Data Issue,In Progress,Duplicate,Mark Lee,Test Engineer,2024-03-21,2024-03-25,2024-04-01,Sprint 6 (2024)
QA-171,QA Defects,Bug,Memory leak observed under load test,Steps: Open app. Expected: User should be redirected. Actual: 500 error returned.,Medium,Major,Performance,Code Bug,Closed,,Mark Lee,Automation Bot,2024-03-23,2024-03-30,,Sprint 6 (2024)
